,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,SimplOverallQual,SimplOverallCond,SimplPoolQC,SimplGarageCond,SimplGarageQual,SimplFireplaceQu,SimplFunctional,SimplKitchenQual,SimplHeatingQC,SimplBsmtFinType1,SimplBsmtFinType2,SimplBsmtCond,SimplBsmtQual,SimplExterCond,SimplExterQual,OverallGrade,GarageGrade,ExterGrade,KitchenScore,FireplaceScore,GarageScore,PoolScore,SimplOverallGrade,SimplExterGrade,SimplPoolScore,SimplGarageScore,SimplFireplaceScore,SimplKitchenScore,TotalBath,AllSF,AllFlrsSF,AllPorchSF,HasMasVnr,BoughtOffPlan,OverallQual-s2,OverallQual-s3,OverallQual-Sq,AllSF-2,AllSF-3,AllSF-Sq,AllFlrsSF-2,AllFlrsSF-3,AllFlrsSF-Sq,GrLivArea-2,GrLivArea-3,GrLivArea-Sq,SimplOverallQual-s2,SimplOverallQual-s3,SimplOverallQual-Sq,ExterQual-2,ExterQual-3,ExterQual-Sq,GarageCars-2,GarageCars-3,GarageCars-Sq,TotalBath-2,TotalBath-3,TotalBath-Sq,KitchenQual-2,KitchenQual-3,KitchenQual-Sq,GarageScore-2,GarageScore-3,GarageScore-Sq
0,SC60,RL,65.0,8450,2,None,4,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4,3,0,6,706,1,0,150,856,GasA,5,Y,SBrkr,856,854,0,1710,1,0,2,1,3,1,4,8,8,0,0,Attchd,2003.0,RFn,2,548,3,3,2,0,61,0,0,0,0,0,No,No,0,Feb,2008,WD,Normal,12.24769911637256,3,2,0,1,1,0,4,2,2,2,1,1,2,1,2,35,9,12,4,0,1644,0,6,2,0,548,0,2,3.5,2566,1710,61,1,0,49,343,2.6457513110645907,6584356,16895457496,50.65570056765576,2924100,5000211000,41.352146256270665,2924100,5000211000,41.352146256270665,9,27,1.7320508075688772,16,64,2.0,4,8,1.4142135623730951,12.25,42.875,1.8708286933869707,16,64,2.0,2702736,4443297984,40.54626986542659
1,SC20,RL,80.0,9600,2,None,4,Lvl,4,FR2,3,Veenker,Feedr,Norm,1Fam,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4,3,3,5,978,1,0,284,1262,GasA,5,Y,SBrkr,1262,0,0,1262,0,1,2,0,3,1,3,6,8,1,3,Attchd,1976.0,RFn,2,460,3,3,2,298,0,0,0,0,0,0,No,No,0,May,2007,WD,Normal,12.109016442313738,2,3,0,1,1,1,4,1,2,2,1,1,2,1,1,48,9,9,3,3,1380,0,6,1,0,460,1,1,2.5,2524,1262,0,0,0,36,216,2.449489742783178,6370576,16079333824,50.23942674832188,1592644,2009916728,35.52463933666322,1592644,2009916728,35.52463933666322,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,6.25,15.625,1.5811388300841898,9,27,1.7320508075688772,1904400,2628072000,37.14835124201342
2,SC60,RL,68.0,11250,2,None,3,Lvl,4,Inside,3,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4,3,1,6,486,1,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,3,Attchd,2001.0,RFn,2,608,3,3,2,0,42,0,0,0,0,0,No,No,0,Sep,2008,WD,Normal,12.317171167298682,3,2,0,1,1,1,4,2,2,2,1,1,2,1,2,35,9,12,4,3,1824,0,6,2,0,608,1,2,3.5,2706,1786,42,1,0,49,343,2.6457513110645907,7322436,19814511816,52.01922721455981,3189796,5696975656,42.261093218230876,3189796,5696975656,42.261093218230876,9,27,1.7320508075688772,16,64,2.0,4,8,1.4142135623730951,12.25,42.875,1.8708286933869707,16,64,2.0,3326976,6068404224,42.708313008125245
3,SC70,RL,60.0,9550,2,None,3,Lvl,4,Corner,3,Crawfor,Norm,Norm,1Fam,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3,4,0,5,216,1,0,540,756,GasA,4,Y,SBrkr,961,756,0,1717,1,0,1,0,3,1,4,7,8,1,4,Detchd,1998.0,Unf,3,642,3,3,2,0,35,272,0,0,0,0,No,No,0,Feb,2006,WD,Abnorml,11.849404844423074,3,2,0,1,1,2,4,2,2,2,1,2,1,1,1,35,9,9,4,4,1926,0,6,1,0,642,2,2,2.0,2473,1717,307,0,0,49,343,2.6457513110645907,6115729,15124197817,49.72926703662542,2948089,5061868813,41.43669871020132,2948089,5061868813,41.43669871020132,9,27,1.7320508075688772,9,27,1.7320508075688772,9,27,1.7320508075688772,4.0,8.0,1.4142135623730951,16,64,2.0,3709476,7144450776,43.88621651498338
4,SC60,RL,84.0,14260,2,None,3,Lvl,4,FR2,3,NoRidge,Norm,Norm,1Fam,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4,3,2,6,655,1,0,490,1145,GasA,5,Y,SBrkr,1145,1053,0,2198,1,0,2,1,4,1,4,9,8,1,3,Attchd,2000.0,RFn,3,836,3,3,2,192,84,0,0,0,0,0,No,No,0,Dec,2008,WD,Normal,12.429220196836383,3,2,0,1,1,1,4,2,2,2,1,1,2,1,2,40,9,12,4,3,2508,0,6,2,0,836,1,2,3.5,3343,2198,84,1,0,64,512,2.8284271247461903,11175649,37360194607,57.81868210189506,4831204,10618986392,46.88283267892417,4831204,10618986392,46.88283267892417,9,27,1.7320508075688772,16,64,2.0,9,27,1.7320508075688772,12.25,42.875,1.8708286933869707,16,64,2.0,6290064,15775480512,50.07993610219566
5,SC50,RL,85.0,14115,2,None,3,Lvl,4,Inside,3,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4,3,0,6,732,1,0,64,796,GasA,5,Y,SBrkr,796,566,0,1362,1,0,1,1,1,1,3,5,8,0,0,Attchd,1993.0,Unf,2,480,3,3,2,40,30,0,320,0,0,0,MnPrv,Shed,700,Oct,2009,WD,Normal,11.870606902224587,2,2,0,1,1,0,4,1,2,2,1,1,2,1,1,25,9,9,3,0,1440,0,4,1,0,480,0,1,2.5,2158,1362,350,0,0,25,125,2.23606797749979,4656964,10049728312,46.45427859734774,1855044,2526569928,36.90528417449187,1855044,2526569928,36.90528417449187,4,8,1.4142135623730951,9,27,1.7320508075688772,4,8,1.4142135623730951,6.25,15.625,1.5811388300841898,9,27,1.7320508075688772,2073600,2985984000,37.94733192202055
6,SC20,RL,75.0,10084,2,None,4,Lvl,4,Inside,3,Somerst,Norm,Norm,1Fam,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5,3,2,6,1369,1,0,317,1686,GasA,5,Y,SBrkr,1694,0,0,1694,1,0,2,0,3,1,4,7,8,1,4,Attchd,2004.0,RFn,2,636,3,3,2,255,57,0,0,0,0,0,No,No,0,Aug,2007,WD,Normal,12.634606283893019,3,2,0,1,1,2,4,2,2,2,1,1,2,1,2,40,9,12,4,4,1908,0,6,2,0,636,2,2,3.0,3380,1694,57,1,0,64,512,2.8284271247461903,11424400,38614472000,58.137767414994535,2869636,4861163384,41.15823125451335,2869636,4861163384,41.15823125451335,9,27,1.7320508075688772,16,64,2.0,4,8,1.4142135623730951,9.0,27.0,1.7320508075688772,16,64,2.0,3640464,6946005312,43.68065933568311
7,SC60,RL,0.0,10382,2,None,3,Lvl,4,Corner,3,NWAmes,PosN,Norm,1Fam,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4,3,1,5,859,4,32,216,1107,GasA,5,Y,SBrkr,1107,983,0,2090,1,0,2,1,3,1,3,7,8,2,3,Attchd,1973.0,RFn,2,484,3,3,2,235,204,228,0,0,0,0,No,Shed,350,Nov,2009,WD,Normal,12.206077645517674,3,2,0,1,1,1,4,1,2,2,2,1,2,1,1,42,9,9,3,6,1452,0,6,1,0,484,2,1,3.5,3197,2090,432,1,0,49,343,2.6457513110645907,10220809,32675926373,56.542019772908716,4368100,9129329000,45.71651780264984,4368100,9129329000,45.71651780264984,9,27,1.7320508075688772,9,27,1.7320508075688772,4,8,1.4142135623730951,12.25,42.875,1.8708286933869707,9,27,1.7320508075688772,2108304,3061257408,38.1051177665153
8,SC50,RM,51.0,6120,2,None,4,Lvl,4,Inside,3,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3,3,0,1,0,1,0,952,952,GasA,4,Y,FuseF,1022,752,0,1774,0,0,2,0,2,2,3,8,7,2,3,Detchd,1931.0,Unf,2,468,2,3,2,90,0,205,0,0,0,0,No,No,0,Apr,2008,WD,Abnorml,11.774527900858468,3,2,0,1,1,1,3,1,2,1,1,1,1,1,1,35,6,9,6,6,936,0,6,1,0,468,2,2,2.0,2726,1774,205,0,0,49,343,2.6457513110645907,7431076,20257113176,52.21110992882645,3147076,5582912824,42.118879377305376,3147076,5582912824,42.118879377305376,9,27,1.7320508075688772,9,27,1.7320508075688772,4,8,1.4142135623730951,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,876096,820025856,30.59411708155671
9,SC190,RL,50.0,7420,2,None,4,Lvl,4,Corner,3,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3,3,0,6,851,1,0,140,991,GasA,5,Y,SBrkr,1077,0,0,1077,1,0,1,0,2,2,3,5,8,2,3,Attchd,1939.0,RFn,1,205,4,3,2,0,4,0,0,0,0,0,No,No,0,Jan,2008,WD,Normal,11.678448377988165,2,2,0,1,2,1,4,1,2,2,1,1,1,1,1,30,12,9,6,6,820,0,4,1,0,410,2,2,2.0,2068,1077,4,0,0,25,125,2.23606797749979,4276624,8844058432,45.47526800360829,1159929,1249243533,32.817678162843876,1159929,1249243533,32.817678162843876,4,8,1.4142135623730951,9,27,1.7320508075688772,1,1,1.0,4.0,8.0,1.4142135623730951,9,27,1.7320508075688772,672400,551368000,28.635642126552707
